CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Credit Rank,Age rank,Balance Rank,Salary Rank,Complain_dict
15731511,Ritchie,808,France,Male,45,7,118626.55,2,Using Credit Card,Not active,147132.46,Client,0,1,SILVER,559,800 - 900,Adult,Balance medium,100k - 150k,No comment
15809248,Cole,524,France,Female,36,10,0.0,2,Using Credit Card,Not active,109614.57,Client,0,2,GOLD,375,500 - 600,Adult,Balance small,100k - 150k,No comment
15640635,Capon,769,France,Male,29,8,0.0,2,Using Credit Card,Active,172290.61,Client,0,2,DIAMOND,411,700 - 800,Young_adult,Balance small,150k - 200k,No comment
15676966,Capon,730,Spain,Male,42,4,0.0,2,Not using Credit Card,Active,85982.47,Client,0,4,DIAMOND,722,700 - 800,Adult,Balance small,50k - 100k,No comment
15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,Not using Credit Card,Active,121277.78,Client,0,1,GOLD,231,500 - 600,Adult,Balance high,100k - 150k,No comment
15738721,Graham,773,Spain,Male,41,9,102827.44,1,Not using Credit Card,Active,64595.25,Client,0,5,DIAMOND,488,700 - 800,Adult,Balance medium,50k - 100k,No comment
15693683,Yuille,814,Germany,Male,29,8,97086.4,2,Using Credit Card,Active,197276.13,Client,0,2,GOLD,965,800 - 900,Young_adult,Balance medium,150k - 200k,No comment
15604348,Allard,710,Spain,Male,22,8,0.0,2,Not using Credit Card,Not active,99645.04,Client,0,4,SILVER,289,700 - 800,Young_adult,Balance small,50k - 100k,No comment
15633059,Fanucci,413,France,Male,34,9,0.0,2,Not using Credit Card,Not active,6534.18,Client,0,1,PLATINUM,449,400 - 500,Adult,Balance small,0 - 50k,No comment
15808582,Fu,665,France,Female,40,6,0.0,1,Using Credit Card,Active,161848.03,Client,0,2,SILVER,651,600 - 700,Adult,Balance small,150k - 200k,No comment
15743192,Hung,623,France,Female,44,6,0.0,2,Not using Credit Card,Not active,167162.43,Client,0,2,DIAMOND,520,600 - 700,Adult,Balance small,150k - 200k,No comment
15580146,Hung,738,France,Male,31,9,82674.15,1,Using Credit Card,Not active,41970.72,Client,0,4,DIAMOND,234,700 - 800,Adult,Balance medium,0 - 50k,No comment
15776605,Bradley,528,Spain,Male,36,7,0.0,2,Using Credit Card,Not active,60536.56,Client,0,5,SILVER,458,500 - 600,Adult,Balance small,50k - 100k,No comment
15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,Using Credit Card,Active,177655.68,Leave,1,2,GOLD,915,600 - 700,Senior,Balance small,150k - 200k,Complain
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,Using Credit Card,Active,30984.59,Leave,1,3,GOLD,299,600 - 700,Adult,Balance medium,0 - 50k,Complain
15599195,Stiger,582,Germany,Male,32,1,88938.62,1,Using Credit Card,Active,10054.53,Client,0,4,GOLD,838,500 - 600,Adult,Balance medium,0 - 50k,No comment
15812878,Parsons,785,Germany,Female,36,2,99806.85,1,Not using Credit Card,Active,36976.52,Client,0,5,PLATINUM,786,700 - 800,Adult,Balance medium,0 - 50k,No comment
15602312,Walkom,605,Spain,Male,33,5,150092.8,1,Not using Credit Card,Not active,71862.79,Client,0,3,DIAMOND,509,600 - 700,Adult,Balance high,50k - 100k,No comment
15744689,T'ang,479,Germany,Male,35,9,92833.89,1,Using Credit Card,Not active,99449.86,Leave,1,3,DIAMOND,328,400 - 500,Adult,Balance medium,50k - 100k,Complain
15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,Not using Credit Card,Active,63082.88,Client,0,4,SILVER,347,600 - 700,Adult,Balance medium,50k - 100k,No comment
15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,Using Credit Card,Not active,27231.26,Client,0,5,SILVER,534,500 - 600,Adult,Balance medium,0 - 50k,No comment
15715951,Thorpe,562,France,Male,42,2,100238.35,1,Not using Credit Card,Not active,86797.41,Client,0,5,PLATINUM,709,500 - 600,Adult,Balance medium,50k - 100k,No comment
15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,Not using Credit Card,Active,22994.32,Client,0,4,SILVER,749,600 - 700,Adult,Balance medium,0 - 50k,No comment
15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,Not using Credit Card,Active,101300.94,Leave,1,5,PLATINUM,541,700 - 800,Young_adult,Balance high,100k - 150k,Complain
15675522,Ko,628,Germany,Female,30,9,132351.29,2,Using Credit Card,Active,74169.13,Client,0,2,GOLD,736,600 - 700,Adult,Balance medium,50k - 100k,No comment
15705512,Welch,668,Germany,Female,37,6,167864.4,1,Using Credit Card,Not active,115638.29,Client,0,4,SILVER,529,600 - 700,Adult,Balance high,100k - 150k,No comment
15698028,Duncan,506,France,Female,41,1,0.0,2,Using Credit Card,Not active,31766.3,Client,0,4,GOLD,594,500 - 600,Adult,Balance small,0 - 50k,No comment
15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,Using Credit Card,Not active,199725.39,Leave,1,1,SILVER,462,500 - 600,Adult,Balance medium,150k - 200k,Complain
15600781,Wu,699,Germany,Male,34,4,185173.81,2,Using Credit Card,Not active,120834.48,Client,0,3,PLATINUM,429,600 - 700,Adult,Balance high,100k - 150k,No comment
15682472,Culbreth,828,France,Male,34,8,129433.34,2,Not using Credit Card,Not active,38131.77,Client,0,4,SILVER,370,800 - 900,Adult,Balance medium,0 - 50k,No comment
15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,Not using Credit Card,Not active,100130.95,Client,0,1,PLATINUM,510,600 - 700,Adult,Balance medium,100k - 150k,No comment
15690673,Cameron,656,France,Female,39,6,0.0,2,Using Credit Card,Not active,141069.88,Client,0,4,DIAMOND,638,600 - 700,Adult,Balance small,100k - 150k,No comment
15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,Using Credit Card,Active,198129.36,Client,0,1,GOLD,462,600 - 700,Adult,Balance medium,150k - 200k,No comment
15779659,Zetticci,625,France,Female,28,3,0.0,1,Not using Credit Card,Not active,183646.41,Client,0,4,GOLD,718,600 - 700,Young_adult,Balance small,150k - 200k,No comment
15627360,Fuller,432,France,Male,42,9,152603.45,1,Using Credit Card,Not active,110265.24,Leave,1,3,DIAMOND,437,400 - 500,Adult,Balance high,100k - 150k,Complain
15671137,MacDonald,549,France,Female,52,1,0.0,1,Not using Credit Card,Active,8636.05,Leave,1,4,DIAMOND,485,500 - 600,Senior,Balance small,0 - 50k,Complain
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,Using Credit Card,Not active,46824.08,Leave,1,3,PLATINUM,410,600 - 700,Senior,Balance medium,0 - 50k,Complain
15575492,Kennedy,828,France,Female,41,7,0.0,2,Using Credit Card,Not active,171378.77,Client,0,2,PLATINUM,666,800 - 900,Adult,Balance small,150k - 200k,No comment
15591607,Fernie,770,France,Male,24,9,101827.07,1,Using Credit Card,Not active,167256.35,Client,0,4,GOLD,730,700 - 800,Young_adult,Balance medium,150k - 200k,No comment
15740404,He,758,France,Female,34,3,0.0,2,Using Credit Card,Active,124226.16,Client,0,2,PLATINUM,375,700 - 800,Adult,Balance small,100k - 150k,No comment
15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,Using Credit Card,Active,114935.21,Client,0,5,GOLD,411,700 - 800,Adult,Balance medium,100k - 150k,No comment
15677871,Cocci,687,France,Male,38,9,122570.87,1,Using Credit Card,Active,35608.88,Client,0,4,DIAMOND,595,600 - 700,Adult,Balance medium,0 - 50k,No comment
15642004,Alekseeva,686,France,Male,25,1,0.0,2,Not using Credit Card,Active,16459.37,Client,0,1,DIAMOND,578,600 - 700,Young_adult,Balance small,0 - 50k,No comment
15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,Using Credit Card,Active,124411.08,Client,0,2,PLATINUM,377,700 - 800,Adult,Balance medium,100k - 150k,No comment
15584518,Arthur,589,Germany,Female,50,5,144895.05,2,Using Credit Card,Active,34941.23,Client,0,2,GOLD,831,500 - 600,Adult,Balance medium,0 - 50k,No comment
15802381,Li,461,Germany,Female,34,5,63663.93,1,Not using Credit Card,Active,167784.28,Client,0,1,SILVER,497,400 - 500,Adult,Balance medium,150k - 200k,No comment
15610156,Ma,637,France,Male,40,2,133463.1,1,Not using Credit Card,Active,93165.34,Client,0,1,PLATINUM,374,600 - 700,Adult,Balance medium,50k - 100k,No comment
15594408,Chia,584,Spain,Female,48,2,213146.2,1,Using Credit Card,Not active,75161.25,Leave,0,4,DIAMOND,814,500 - 600,Adult,Balance high,50k - 100k,No comment
15640905,Vasin,579,Spain,Female,35,1,129490.36,2,Not using Credit Card,Active,8590.83,Leave,1,4,GOLD,247,500 - 600,Adult,Balance medium,0 - 50k,Complain
15698932,Groves,756,Germany,Male,44,10,137452.09,1,Using Credit Card,Not active,189543.9,Client,0,5,PLATINUM,965,700 - 800,Adult,Balance medium,150k - 200k,No comment
15724944,Tien,663,France,Male,34,7,0.0,2,Using Credit Card,Active,180427.24,Client,0,3,SILVER,912,600 - 700,Adult,Balance small,150k - 200k,No comment
15628145,Forwood,682,France,Female,43,5,125851.93,1,Using Credit Card,Active,193318.33,Client,0,4,GOLD,462,600 - 700,Adult,Balance medium,150k - 200k,No comment
15713483,Greeves,793,Spain,Male,52,2,0.0,1,Using Credit Card,Not active,159123.82,Leave,1,5,GOLD,883,700 - 800,Senior,Balance small,150k - 200k,Complain
15612350,Taylor,691,France,Female,31,5,40915.55,1,Using Credit Card,Not active,126213.84,Leave,0,2,SILVER,402,600 - 700,Adult,Balance small,100k - 150k,No comment
15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,Using Credit Card,Active,54141.5,Client,0,4,GOLD,764,400 - 500,Young_adult,Balance medium,50k - 100k,No comment
15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,Using Credit Card,Not active,141075.51,Client,0,1,PLATINUM,608,600 - 700,Young_adult,Balance medium,100k - 150k,No comment
15754105,Olisanugo,650,France,Male,37,5,106967.18,1,Not using Credit Card,Not active,24495.03,Client,0,5,PLATINUM,652,600 - 700,Adult,Balance medium,0 - 50k,No comment
15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,Using Credit Card,Not active,74836.34,Client,0,2,SILVER,520,700 - 800,Adult,Balance medium,50k - 100k,No comment
15794413,Harris,416,France,Male,32,0,0.0,2,Not using Credit Card,Active,878.87,Client,0,5,GOLD,884,400 - 500,Adult,Balance small,0 - 50k,No comment
15650237,Morgan,754,Spain,Female,32,7,0.0,2,Using Credit Card,Not active,89520.75,Client,0,1,SILVER,800,700 - 800,Adult,Balance small,50k - 100k,No comment
15759618,Alexeeva,535,France,Female,48,9,0.0,1,Using Credit Card,Not active,149892.79,Leave,1,4,GOLD,697,500 - 600,Adult,Balance small,100k - 150k,Complain
15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,Using Credit Card,Not active,180800.42,Client,0,2,SILVER,427,700 - 800,Adult,Balance small,150k - 200k,No comment
15689044,Humphries,539,France,Male,37,2,127609.59,1,Using Credit Card,Not active,98646.22,Client,0,1,DIAMOND,620,500 - 600,Adult,Balance medium,50k - 100k,No comment
15709368,Milne,614,France,Female,43,6,0.0,2,Using Credit Card,Active,109041.53,Client,0,1,PLATINUM,318,600 - 700,Adult,Balance small,100k - 150k,No comment
15679145,Chou,706,Spain,Male,57,7,0.0,1,Using Credit Card,Not active,17941.16,Leave,1,1,GOLD,701,700 - 800,Senior,Balance small,0 - 50k,Complain
15655007,Li,758,France,Female,33,7,0.0,2,Not using Credit Card,Not active,82996.47,Client,0,4,PLATINUM,953,700 - 800,Adult,Balance small,50k - 100k,No comment
15623595,Clayton,586,Spain,Female,28,2,0.0,2,Using Credit Card,Active,92067.35,Client,0,5,PLATINUM,635,500 - 600,Young_adult,Balance small,50k - 100k,No comment
